Counter,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
786660,1997,0029700058,Aaron McKie,DET,"NOV 07, 1997",DET vs. ORL,L,17,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,1,1,0,2,3,4,-6.0,0
786659,1997,0029700078,Aaron McKie,DET,"NOV 09, 1997",DET @ VAN,L,32,4,7,0.571,0,2,0.0,4,4,1.0,2,2,4,3,1,0,0,4,12,-9.0,0
786658,1997,0029700080,Aaron McKie,DET,"NOV 10, 1997",DET @ POR,L,22,2,5,0.4,0,1,0.0,0,0,0.0,1,3,4,2,0,0,0,3,4,1.0,0
786657,1997,0029700096,Aaron McKie,DET,"NOV 12, 1997",DET @ GSW,W,26,1,4,0.25,0,0,0.0,2,2,1.0,1,6,7,2,1,0,1,4,4,17.0,0
786656,1997,0029700102,Aaron McKie,DET,"NOV 13, 1997",DET @ SEA,L,34,4,7,0.571,1,3,0.333,2,2,1.0,0,3,3,5,3,0,1,3,11,7.0,0
786654,1997,0029700132,Aaron McKie,DET,"NOV 18, 1997",DET @ MIL,L,15,0,4,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,1,0,3.0,0
786653,1997,0029700147,Aaron McKie,DET,"NOV 20, 1997",DET vs. POR,L,22,2,5,0.4,0,1,0.0,0,0,0.0,2,0,2,1,3,0,0,1,4,-11.0,0
786652,1997,0029700164,Aaron McKie,DET,"NOV 22, 1997",DET vs. ATL,W,15,3,4,0.75,1,1,1.0,0,0,0.0,0,1,1,2,0,0,1,0,7,3.0,0
786651,1997,0029700170,Aaron McKie,DET,"NOV 23, 1997",DET @ BOS,L,31,2,5,0.4,0,1,0.0,0,0,0.0,1,5,6,1,1,1,6,2,4,-1.0,0
786650,1997,0029700178,Aaron McKie,DET,"NOV 25, 1997",DET @ CHH,L,11,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,0,1,0,1,1,4,0.0,0
786649,1997,0029700197,Aaron McKie,DET,"NOV 28, 1997",DET vs. NYK,W,18,0,2,0.0,0,0,0.0,2,2,1.0,0,2,2,2,0,0,0,0,2,26.0,0
786670,1997,0029601117,Aaron McKie,DET,"APR 11, 1997",DET vs. CHH,L,14,3,3,1.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,2,7,-1.0,0
786671,1997,0029601107,Aaron McKie,DET,"APR 10, 1997",DET @ MIA,L,11,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,0,-3.0,0
786672,1997,0029601088,Aaron McKie,DET,"APR 07, 1997",DET vs. MIA,L,12,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,4.0,0
786665,1997,0029601185,Aaron McKie,DET,"APR 20, 1997",DET @ IND,W,48,4,9,0.444,1,2,0.5,2,2,1.0,2,6,8,7,2,0,1,4,11,5.0,0
786716,1997,0029600430,Aaron McKie,POR,"JAN 02, 1997",POR @ HOU,W,12,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,1,0,0,1,3,-5.0,0
786715,1997,0029600447,Aaron McKie,POR,"JAN 04, 1997",POR @ DAL,W,13,0,2,0.0,0,1,0.0,2,2,1.0,0,5,5,0,0,0,3,2,2,5.0,0
786707,1997,0029600574,Aaron McKie,POR,"JAN 22, 1997",POR @ SEA,L,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,7.0,0
786708,1997,0029600568,Aaron McKie,POR,"JAN 21, 1997",POR vs. LAC,W,16,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,1,2,0,0,1,0,8.0,0
786709,1997,0029600550,Aaron McKie,POR,"JAN 19, 1997",POR vs. UTA,W,11,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,4,2,0,0,0,0,2.0,0
786710,1997,0029600536,Aaron McKie,POR,"JAN 17, 1997",POR vs. TOR,L,11,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,2,1,1,1,1,0,13.0,0
786711,1997,0029600529,Aaron McKie,POR,"JAN 16, 1997",POR @ LAL,W,13,0,1,0.0,0,0,0.0,0,0,0.0,0,5,5,1,1,1,1,2,0,8.0,0
786712,1997,0029600515,Aaron McKie,POR,"JAN 14, 1997",POR vs. DET,W,22,1,3,0.333,1,2,0.5,2,2,1.0,0,3,3,4,0,2,2,2,5,4.0,0
786713,1997,0029600476,Aaron McKie,POR,"JAN 08, 1997",POR vs. MIA,L,14,1,4,0.25,0,1,0.0,0,1,0.0,0,1,1,1,0,0,1,1,2,-12.0,0
